review_id,transaction_id,product_id,reviewer_id,rating,comment,review_date,is_anonymous
R000001,T000480,P006132,U000531,4,整体OK，有点小问题但能接受,2022-06-24 00:00:00,0
R000002,T001526,P000638,U002814,4,功能正常，有些使用痕迹,2023-06-06 00:00:00,1
R000003,T000684,P003056,U000770,3,和预期差不多，一般般,2021-04-22 00:00:00,0
R000004,T000525,P000363,U001450,4,基本满意，就是外观有点旧,2023-11-15 00:00:00,0
R000005,T002316,P004024,U002701,5,学姐人超好，还教我怎么使用,2023-01-12 00:00:00,0
R000006,T000635,P002247,U002177,4,物品基本符合描述，好评,2022-11-21 00:00:00,1
R000007,T002637,P007476,U001984,4,还可以，就是没有配件了,2021-05-22 00:00:00,0
R000008,T002790,P005887,U002091,5,东西不错，性价比超高，推荐购买,2022-03-14 00:00:00,0
R000009,T002954,P003907,U002379,5,完美的交易体验，感谢卖家,2021-03-31 00:00:00,0
R000010,T003816,P005882,U001071,1,质量太差了，根本不能用,2023-01-03 00:00:00,0
R000011,T002105,P007228,U002614,5,超级满意，卖家态度特别好,2020-11-08 00:00:00,1
R000012,T002703,P000233,U002438,4,商品质量不错，略有瑕疵,2022-10-09 00:00:00,0
R000013,T000344,P006946,U002056,5,卖家很负责，交易很顺利,2020-09-18 00:00:00,0
R000014,T001282,P006572,U002859,5,完美，没有任何问题,2024-05-17 00:00:00,0
R000015,T003705,P005924,U001939,4,满意，就是包装简单了点,2021-12-25 00:00:00,1
R000016,T001221,P000044,U002401,3,和预期差不多，一般般,2023-06-18 00:00:00,0
R000017,T003323,P007441,U001583,5,满意满意，五星好评,2024-05-14 00:00:00,0
R000018,T002320,P000009,U000436,5,东西很实用，正好需要,2022-06-28 00:00:00,1
R000019,T003286,P002228,U001886,5,商品和描述一致，卖家很诚信！,2023-03-06 00:00:00,0
R000020,T000003,P004616,U000794,5,物品完好无损，包装也很仔细,2023-07-07 00:00:00,0
R000021,T003789,P003731,U001713,5,宝贝收到了，和图片一模一样,2024-03-29 00:00:00,1
R000022,T002439,P007100,U000628,5,卖家很负责，交易很顺利,2021-04-05 00:00:00,1
R000023,T002965,P002921,U000751,4,性价比可以，物有所值,2023-04-08 00:00:00,0
R000024,T003078,P006392,U000913,5,质量不错，值得购买，下次还来,2022-01-11 00:00:00,0
R000025,T003871,P000292,U002386,5,卖家诚信，商品优质,2021-12-08 00:00:00,0
R000026,T001657,P003119,U000750,5,性价比真的很高，捡到宝了,2023-03-13 00:00:00,0
R000027,T003963,P004292,U001791,5,满意满意，五星好评,2023-07-22 00:00:00,0
R000028,T003319,P000521,U001320,5,东西很新，几乎没怎么用过,2024-06-05 00:00:00,0
R000029,T001124,P007342,U000147,5,收到了，很好用，感谢,2022-07-27 00:00:00,1
R000030,T001466,P007630,U000199,2,比较失望,2021-07-20 00:00:00,0
